workspace,repo_slug,pipeline_uuid,step_uuid,state,name,duration_seconds
solutionsmetrixcrmdev,esl,{eb64799e-7f74-418d-9285-2c267f967fd0},{f855c981-1883-4e5c-bf5c-c80c47638932},COMPLETED,Deploy to UAT,569
solutionsmetrixcrmdev,esl,{f5163473-e44b-43d5-86e7-8976e7b315ff},{41f43966-7dcd-4f22-8bf5-331ca1a9acf5},COMPLETED,Deploy to QA,638
solutionsmetrixcrmdev,esl,{38bdeb8e-b117-42cf-8c57-0e4add5cc66a},{b2e3a056-c31f-48eb-aa01-7652035a3264},COMPLETED,Deploy to QA,554
solutionsmetrixcrmdev,esl,{5bb035fb-6e6e-4ff4-b243-844c0677768e},{20f1d02a-1642-4c3e-ae3a-70308b6c845f},COMPLETED,Deploy to QA,839
solutionsmetrixcrmdev,esl,{d1797918-3d51-436f-be81-07c68eb571fe},{342e332b-5e22-4040-9cb0-fa17b339a960},COMPLETED,Deploy to QA,529
solutionsmetrixcrmdev,esl,{c4984512-fca4-4622-b2d8-66737b2b3c44},{6af08567-4053-484d-8305-13ee05cd7165},COMPLETED,Deploy to QA,730
solutionsmetrixcrmdev,esl,{bf924a45-9ac6-4ff6-93d5-22883cc329d2},{c8653ff1-0af9-4b31-9719-fbd14c97feac},COMPLETED,Deploy to QA,537
solutionsmetrixcrmdev,esl,{cfd52eb4-3a28-489d-88b0-9587e31a3e26},{7a23e904-d26b-40a7-b748-f3d8d761b615},COMPLETED,Deploy to QA,696
solutionsmetrixcrmdev,esl,{4160f189-f51d-4290-82b7-a245d040e782},{fc7a1505-107b-40b8-a9a0-7a3686896388},COMPLETED,Deploy to QA,548
solutionsmetrixcrmdev,esl,{8de3279b-0c33-47f2-85f9-1c6e68093139},{91c49e09-11b5-4aa0-b9b1-3379e98a688b},COMPLETED,Deploy to QA,514
solutionsmetrixcrmdev,esl,{109218f4-c9b6-4bde-966a-803770a45fbf},{c4ab87dd-8f85-4759-b237-ab041dd171cc},COMPLETED,Deploy to QA,781
